[Tue Nov 10 10:41:30.892476 2015] [:error] [pid 25311] [client 127.0.0.1:59885] PHP Parse error:  parse error in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/Bootstrap.php on line 9
[Tue Nov 10 10:41:31.105517 2015] [:error] [pid 25311] [client 127.0.0.1:59885] PHP Parse error:  parse error in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/Bootstrap.php on line 9, referer: http://dev.gamenomad.com/login
[Tue Nov 10 10:41:52.834451 2015] [:error] [pid 25309] [client 127.0.0.1:59886] PHP Warning:  include_once(Zend/Controller/Route/Static.php): failed to open stream: No such file or directory in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134
[Tue Nov 10 10:41:52.848367 2015] [:error] [pid 25309] [client 127.0.0.1:59886] PHP Warning:  include_once(): Failed opening 'Zend/Controller/Route/Static.php' for inclusion (include_path='/Users/Equate/Sites/sandbox/dev.gamenomad.com/application/../library:/Users/Equate/Sites/sandbox/dev.gamenomad.com/library:.:/php/includes:/Users/Equate/Sites/zend/library') in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134
[Tue Nov 10 10:41:52.882544 2015] [:error] [pid 25309] [client 127.0.0.1:59886] PHP Fatal error:  Class 'Zend_Controller_Route_Static' not found in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/Bootstrap.php on line 9
[Tue Nov 10 10:41:53.026052 2015] [:error] [pid 25309] [client 127.0.0.1:59886] PHP Warning:  include_once(Zend/Controller/Route/Static.php): failed to open stream: No such file or directory in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134, referer: http://dev.gamenomad.com/login
[Tue Nov 10 10:41:53.026136 2015] [:error] [pid 25309] [client 127.0.0.1:59886] PHP Warning:  include_once(): Failed opening 'Zend/Controller/Route/Static.php' for inclusion (include_path='/Users/Equate/Sites/sandbox/dev.gamenomad.com/application/../library:/Users/Equate/Sites/sandbox/dev.gamenomad.com/library:.:/php/includes:/Users/Equate/Sites/zend/library') in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134, referer: http://dev.gamenomad.com/login
[Tue Nov 10 10:41:53.026286 2015] [:error] [pid 25309] [client 127.0.0.1:59886] PHP Fatal error:  Class 'Zend_Controller_Route_Static' not found in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/Bootstrap.php on line 9, referer: http://dev.gamenomad.com/login
[Tue Nov 10 10:45:22.844523 2015] [:error] [pid 25312] [client 127.0.0.1:60044] PHP Warning:  include_once(Zend/Controller/Router/Static.php): failed to open stream: No such file or directory in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134
[Tue Nov 10 10:45:22.844657 2015] [:error] [pid 25312] [client 127.0.0.1:60044] PHP Warning:  include_once(): Failed opening 'Zend/Controller/Router/Static.php' for inclusion (include_path='/Users/Equate/Sites/sandbox/dev.gamenomad.com/application/../library:/Users/Equate/Sites/sandbox/dev.gamenomad.com/library:.:/php/includes:/Users/Equate/Sites/zend/library') in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134
[Tue Nov 10 10:45:22.844922 2015] [:error] [pid 25312] [client 127.0.0.1:60044] PHP Fatal error:  Class 'Zend_Controller_Router_Static' not found in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/Bootstrap.php on line 9
[Tue Nov 10 10:45:22.949805 2015] [:error] [pid 25312] [client 127.0.0.1:60044] PHP Warning:  include_once(Zend/Controller/Router/Static.php): failed to open stream: No such file or directory in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134, referer: http://dev.gamenomad.com/login
[Tue Nov 10 10:45:22.949834 2015] [:error] [pid 25312] [client 127.0.0.1:60044] PHP Warning:  include_once(): Failed opening 'Zend/Controller/Router/Static.php' for inclusion (include_path='/Users/Equate/Sites/sandbox/dev.gamenomad.com/application/../library:/Users/Equate/Sites/sandbox/dev.gamenomad.com/library:.:/php/includes:/Users/Equate/Sites/zend/library') in /Users/Equate/Sites/zend/library/Zend/Loader.php on line 134, referer: http://dev.gamenomad.com/login
